ADM2_PCODE,ADM_PCODE,female_pop,children_u5,female_u5,elderly,pop_u15,female_u15
IQG02Q01,IQG02Q01,88656,29361,14562,5883,76114,37312
IQG05Q01,IQG05Q01,92473,30560,14320,5704,80307,38716
IQG12Q01,IQG12Q01,20421,6611,2955,1248,17054,8015
IQG08Q01,IQG08Q01,578255,159137,78628,40303,441081,214301
IQG09Q01,IQG09Q01,198239,56896,27676,12504,160860,77998
IQG14Q01,IQG14Q01,59238,20722,10572,3634,54117,27291
IQG15Q02,IQG15Q02,86807,28751,13969,5510,73224,35348
IQG02Q02,IQG02Q02,919420,304492,151021,61014,789348,386951
IQG17Q01,IQG17Q01,56844,18102,8816,3054,49480,24528
IQG16Q01,IQG16Q01,13856,4543,2281,740,11845,5903
IQG05Q02,IQG05Q02,400764,132454,62057,24738,348000,167756
IQG01Q01,IQG01Q01,353434,112927,54606,18062,304727,146617
IQG02Q03,IQG02Q03,17861,5915,2934,1185,15334,7517
IQG18Q01,IQG18Q01,101444,31480,15730,6120,88625,42778
IQG15Q03,IQG15Q03,124259,40673,19789,7900,104342,50419
IQG05Q03,IQG05Q03,164612,54470,25540,10133,142983,68983
IQG07Q01,IQG07Q01,199869,64284,30609,12658,167584,81920
IQG15Q04,IQG15Q04,62781,20793,10104,3982,52961,25569
IQG13Q01,IQG13Q01,148408,45515,20023,16726,108379,50692
IQG07Q02,IQG07Q02,590426,189825,90403,37412,494732,241902
IQG12Q02,IQG12Q02,266224,85795,40134,16821,222620,107752
IQG08Q02,IQG08Q02,1556992,486536,242398,87248,1298077,638590
IQG14Q03,IQG14Q03,380510,133102,67907,23344,347612,175304
IQG01Q02,IQG01Q02,92164,29178,14051,4351,80178,38092
IQG08Q03,IQG08Q03,803718,218615,108709,57399,603411,293111
IQG10Q01,IQG10Q01,262310,74293,36183,17142,207631,100781
IQG03Q01,IQG03Q01,57823,19869,9628,3148,50634,25283
IQG04Q01,IQG04Q01,197890,62533,29388,11316,165539,80856
IQG18Q02,IQG18Q02,238461,74003,36979,14385,208333,100561
IQG08Q04,IQG08Q04,83448,23665,11530,5453,66115,32090
IQG07Q03,IQG07Q03,78689,25268,12054,4978,66033,32272
IQG08Q05,IQG08Q05,245241,75196,36249,16011,199420,97243
IQG14Q04,IQG14Q04,42281,14790,7546,2594,38626,19479
IQG04Q02,IQG04Q02,133992,43336,20311,7929,114375,55460
IQG14Q05,IQG14Q05,116660,40808,20820,7157,106574,53746
IQG02Q04,IQG02Q04,87453,28955,14359,5796,75088,36812
IQG15Q05,IQG15Q05,1216140,402693,195662,77193,1025742,495171
IQG10Q02,IQG10Q02,62545,17713,8627,4088,49506,24029
IQG07Q04,IQG07Q04,137526,44215,21057,8714,115236,56346
IQG04Q03,IQG04Q03,564269,178117,83495,32039,471765,230211
IQG18Q03,IQG18Q03,217641,67538,33748,13129,190140,91777
IQG17Q04,IQG17Q04,544792,173488,84494,29266,474222,235074
IQG02Q05,IQG02Q05,183877,60897,30204,12202,157867,77390
IQG01Q03,IQG01Q03,350134,111112,53646,16604,304444,145031
IQG17Q02,IQG17Q02,262141,83476,40657,14085,228187,113109
IQG08Q06,IQG08Q06,691712,187554,93306,49690,517919,251711
IQG03Q02,IQG03Q02,185703,64214,31062,10176,162663,81176
IQG01Q04,IQG01Q04,13808,4372,2105,652,12011,5706
IQG03Q03,IQG03Q03,6633,2295,1111,362,5811,2902
IQG03Q04,IQG03Q04,242610,84042,40702,13226,212584,106234
IQG05Q04,IQG05Q04,249474,82244,38558,15372,216081,104261
IQG17Q03,IQG17Q03,191008,60826,29624,10261,166265,82418
IQG15Q06,IQG15Q06,48839,16114,7830,3099,41152,19868
IQG16Q02,IQG16Q02,110230,36328,18098,6227,93863,46528
IQG06Q01,IQG06Q01,562015,118021,57963,47064,368204,176259
IQG18Q04,IQG18Q04,187065,57981,28963,11298,163216,78787
IQG08Q07,IQG08Q07,184154,49895,24831,13249,137752,66950
IQG11Q01,IQG11Q01,23075,5692,2878,1517,17550,8673
IQG02Q06,IQG02Q06,273958,90729,44999,18180,235201,115299
IQG14Q02,IQG14Q02,31345,10965,5594,1923,28635,14441
IQG01Q05,IQG01Q05,31940,10112,4869,1508,27786,13201
IQG15Q01,IQG15Q01,33905,10496,5142,2172,27879,13534
IQG18Q05,IQG18Q05,12550,3895,1946,757,10965,5292
IQG16Q04,IQG16Q04,216980,68951,34472,11973,182740,90626
IQG10Q03,IQG10Q03,31755,9094,4444,2057,25440,12339
IQG10Q04,IQG10Q04,288390,81270,39676,19065,226832,110115
IQG16Q03,IQG16Q03,164299,53584,26364,10455,137224,67792
IQG06Q02,IQG06Q02,171903,36145,17754,14381,112714,53965
IQG13Q02,IQG13Q02,34498,10437,4707,3558,25550,12083
IQG06Q03,IQG06Q03,19712,4251,2086,1623,13122,6289
IQG13Q03,IQG13Q03,82368,25260,11108,9296,60128,28118
IQG06Q04,IQG06Q04,41595,8735,4290,3483,27251,13045
IQG09Q02,IQG09Q02,314059,90016,43787,19808,254755,123531
IQG11Q02,IQG11Q02,752950,185852,93923,49588,572624,282958
IQG01Q06,IQG01Q06,52460,16608,7998,2476,45638,21682
IQG06Q05,IQG06Q05,75163,15784,7752,6294,49243,23573
IQG01Q07,IQG01Q07,88629,28058,13512,4184,77103,36631
IQG06Q06,IQG06Q06,122135,30396,14853,9035,88862,42881
IQG12Q03,IQG12Q03,573255,185913,82690,35838,476869,224207
IQG10Q05,IQG10Q05,61828,17502,8524,4043,48923,23746
IQG10Q06,IQG10Q06,29905,7750,3783,2135,22330,10796
IQG13Q04,IQG13Q04,613961,187605,82580,69063,447715,209430
IQG11Q03,IQG11Q03,160742,39079,19702,10873,120549,59407
IQG11Q04,IQG11Q04,30511,7747,3899,2002,23419,11548
IQG06Q07,IQG06Q07,19737,4145,2036,1653,12931,6190
IQG06Q08,IQG06Q08,43896,9222,4530,3674,28770,13774
IQG14Q06,IQG14Q06,35778,12515,6385,2195,32685,16483
IQG06Q09,IQG06Q09,35918,7543,3704,3008,23532,11265
IQG11Q05,IQG11Q05,131904,32537,16450,8672,100322,49580
IQG16Q05,IQG16Q05,186925,61869,31193,9588,161049,80465
IQG11Q06,IQG11Q06,166662,41062,20753,10989,126587,62540
IQG06Q10,IQG06Q10,28832,6055,2974,2414,18889,9042
IQG02Q07,IQG02Q07,114902,38053,18873,7625,98647,48358
IQG15Q07,IQG15Q07,111766,37018,17986,7094,94277,45511
IQG09Q03,IQG09Q03,393914,113121,55025,24846,319688,155009
IQG17Q05,IQG17Q05,185121,58951,28711,9945,161140,79878
IQG15Q08,IQG15Q08,278234,92019,44710,17659,234599,113254
IQG16Q06,IQG16Q06,79610,26332,13262,4128,68495,34205
IQG15Q09,IQG15Q09,209763,69463,33750,13314,176931,85411
IQG16Q07,IQG16Q07,120911,39842,20078,6251,103886,51876
IQG09Q04,IQG09Q04,448355,128567,62540,28278,363734,176373
